track_name,track_artist,valence,energy,danceability,tempo,acousticness,speechiness
What I Like About You (feat. Theresa Rex),Jonas Blue,0.553,0.8,0.46,102.46,0.289,0.05
With You,Kaskade,0.529,0.921,0.362,172.191,0.123,0.486
Body Back (feat. Maia Wright),Gryffin,0.486,0.83,0.686,123.032,0.0948,0.0369
Not Ok,Kygo,0.408,0.66,0.618,105.0,0.0292,0.0372
Ruin My Life,Zara Larsson,0.585,0.699,0.665,124.896,0.423,0.0578
I Wanna Know (feat. Bea Miller),NOTD,0.605,0.725,0.661,119.927,0.0253,0.0563
Better With You,3LAU,0.25,0.752,0.571,102.043,0.0196,0.0293
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,0.27,0.705,0.591,121.799,0.381,0.079
Polaroid,Jonas Blue,0.472,0.898,0.652,114.043,0.29,0.0361
Lost In Japan - Remix,Shawn Mendes,0.293,0.855,0.706,107.184,0.0911,0.215
In Your Arms (with X Ambassadors),ILLENIUM,0.112,0.806,0.404,148.036,0.198,0.0496
I'm Not Alright,Loud Luxury,0.685,0.856,0.876,121.991,0.0812,0.0486
SOS,Avicii,0.376,0.645,0.802,100.001,0.272,0.0715
Harder,Jax Jones,0.751,0.832,0.906,104.03,0.0909,0.0718
The Middle,Zedd,0.437,0.657,0.753,107.01,0.171,0.0449
Wanted,NOTD,0.378,0.674,0.693,95.972,0.185,0.0723
Crash Into Me,Steve Aoki,0.341,0.815,0.672,115.033,0.00246,0.0981
Need Your Love (with Noah Kahan),Gryffin,0.523,0.76,0.581,104.099,0.16,0.0406
Good Things Fall Apart (with Jon Bellion),ILLENIUM,0.442,0.594,0.643,144.033,0.0128,0.0318
Don't Call Me Up,Mabel,0.234,0.881,0.674,98.994,0.296,0.147
Nostalgic,A R I Z O N A,0.329,0.538,0.691,99.972,0.246,0.103
Let It Be Me,Steve Aoki,0.387,0.758,0.661,114.098,0.0797,0.0864
Lovers + Strangers,Starley,0.652,0.69,0.653,110.214,0.109,0.0756
Sad Song (feat. TINI),Alesso,0.55,0.693,0.734,110.021,0.0878,0.0361
Sleepless Nights,ayokay,0.449,0.696,0.663,139.98,0.0563,0.0349
Save Me Tonight,ARTY,0.408,0.899,0.55,125.85,0.0113,0.0458
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.733,0.868,0.703,121.03,0.15,0.0291
No Sleep (feat. Bonn),Martin Garrix,0.327,0.635,0.44,128.133,0.129,0.0326
Feel Good (feat. Daya),Gryffin,0.479,0.707,0.625,138.064,0.22,0.0337
Endless Summer,Cashae,0.326,0.719,0.625,101.091,0.048,0.0612
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,0.723,0.795,0.547,118.118,0.145,0.0489
Think About You,Kygo,0.19,0.596,0.673,123.969,0.166,0.0354
Party For One,Carly Rae Jepsen,0.458,0.633,0.699,123.449,0.0453,0.0362
Ritual,Tiësto,0.767,0.726,0.647,114.996,0.157,0.0552
Electricity (with Dua Lipa),Silk City,0.505,0.67,0.588,118.159,0.0104,0.0473
Lie,Shallou,0.224,0.427,0.655,107.992,0.295,0.0799
I Found You (with Calvin Harris),benny blanco,0.362,0.865,0.79,122.99,0.0264,0.0438
Now That I Found You,Carly Rae Jepsen,0.574,0.737,0.611,124.169,0.0145,0.0476
All Comes Back To You,R3HAB,0.516,0.763,0.726,128.02,0.524,0.0882
Need U,DVBBS,0.471,0.705,0.714,114.994,0.292,0.0995
First Love,Lost Kings,0.601,0.938,0.619,94.38,0.0257,0.35
Something Real,Armin van Buuren,0.232,0.808,0.575,127.922,0.0446,0.0439
TIME,Alesso,0.664,0.808,0.768,119.971,0.00627,0.112
Something About You (with Rudimental),Elderbrook,0.657,0.605,0.767,107.042,0.559,0.188
Home (feat. Bonn),Martin Garrix,0.236,0.612,0.466,128.114,0.0655,0.0307
Simple (STVW Remix),FANNYPACK,0.622,0.917,0.434,121.967,0.301,0.0633
Sorry,Joel Corry,0.847,0.79,0.744,125.002,0.0547,0.0562
Spicy (with Diplo & Charli XCX),Herve Pagez,0.484,0.818,0.837,109.993,0.0527,0.0533
The Upside (feat. Elle King),Lindsey Stirling,0.351,0.856,0.514,117.014,0.00123,0.0717
Stay,Zedd,0.544,0.622,0.69,102.04,0.253,0.0622
Million Voices,Armin van Buuren,0.185,0.869,0.466,126.113,0.0142,0.0529
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.617,0.801,0.842,95.881,0.157,0.228
Closer (feat. Halsey),The Chainsmokers,0.661,0.524,0.748,95.01,0.414,0.0338
Say My Name (feat. Zyra) - RAC Mix,ODESZA,0.477,0.624,0.647,115.002,0.025,0.0451
Clarity,Zedd,0.176,0.781,0.509,128.0,0.0398,0.072
Solo (feat. Demi Lovato),Clean Bandit,0.565,0.636,0.737,105.005,0.0441,0.0437
Scared to Be Lonely,Martin Garrix,0.195,0.54,0.584,137.972,0.0895,0.0576
Friends (with BloodPop®),Justin Bieber,0.622,0.733,0.743,104.977,0.00402,0.0375
RITMO (Bad Boys For Life),The Black Eyed Peas,0.667,0.716,0.721,104.994,0.0334,0.0657
Promises (with Sam Smith),Calvin Harris,0.486,0.768,0.781,123.07,0.0119,0.0394
Turn Me On (feat. Vula),Riton,0.517,0.828,0.737,124.052,0.0149,0.0396
Light,San Holo,0.43,0.763,0.57,150.088,0.0857,0.0573
2U,David Guetta,0.562,0.651,0.551,144.875,0.225,0.0594
Something Just Like This,The Chainsmokers,0.446,0.635,0.617,103.019,0.0498,0.0317
One Kiss (with Dua Lipa),Calvin Harris,0.592,0.862,0.791,123.994,0.037,0.11
Heroes (we could be),Alesso,0.356,0.748,0.503,125.896,0.0305,0.0619
It Ain’t Me (with Selena Gomez),Kygo,0.515,0.533,0.64,99.968,0.119,0.0706
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,0.248,0.677,0.658,124.91,0.248,0.0393
Let Me Love You,DJ Snake,0.163,0.716,0.649,99.988,0.0863,0.0349
Roses,The Chainsmokers,0.343,0.802,0.713,100.001,0.0435,0.0561
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,0.461,0.738,0.596,127.961,0.109,0.0411
Latch,Disclosure,0.521,0.727,0.503,121.985,0.0159,0.167
Flames,David Guetta,0.362,0.726,0.609,93.958,0.0723,0.0414
Sorry,Justin Bieber,0.41,0.76,0.654,99.945,0.0797,0.045
This Is What You Came For,Calvin Harris,0.465,0.928,0.63,123.963,0.199,0.0331
Wake Me Up,Avicii,0.643,0.783,0.532,124.08,0.0038,0.0523
In My Mind,Dynoro,0.163,0.77,0.694,125.905,0.176,0.149
Titanium (feat. Sia),David Guetta,0.301,0.787,0.604,126.062,0.0679,0.103
Where Are Ü Now,Skrillex,0.193,0.74,0.432,139.42,0.0342,0.062
Firework,Katy Perry,0.648,0.832,0.638,124.071,0.141,0.049
Mi Gente (feat. Beyoncé),J Balvin,0.469,0.716,0.759,105.009,0.0223,0.0818
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.429,0.832,0.614,129.038,0.11,0.0522
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.7,0.832,0.669,113.035,0.0106,0.0682
Anything Could Happen,Ellie Goulding,0.382,0.781,0.702,102.997,0.433,0.03
Poker Face,Lady Gaga,0.776,0.806,0.851,119.001,0.12,0.0786
How Deep Is Your Love,Calvin Harris,0.336,0.868,0.738,122.003,0.0389,0.0731
In Your Eyes (feat. Alida),Robin Schulz,0.448,0.672,0.57,120.019,0.177,0.0723
Wish You Well (with Sigala),Sigala,0.568,0.89,0.67,124.967,0.122,0.0576
With You - LöKii Remix,Kaskade,0.512,0.727,0.708,120.012,0.0201,0.0389
Dive,Hot Shade,0.409,0.787,0.654,123.978,0.00515,0.0502
No Goodbye,Paul Kalkbrenner,0.626,0.584,0.945,124.996,0.0955,0.044
Work,MOTi,0.633,0.929,0.704,126.055,0.0395,0.0395
Instagram,Dimitri Vegas & Like Mike,0.95,0.906,0.765,96.071,0.125,0.0965
Better Off Without You (feat. Shift K3Y),Becky Hill,0.304,0.855,0.682,124.004,0.0566,0.0401
Butterfly,Molella,0.596,0.662,0.627,124.039,0.0922,0.0349
All The Love You Got,MOTi,0.248,0.736,0.762,126.007,0.135,0.0778
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,0.283,0.844,0.577,115.066,0.00407,0.0406
Love Is Not Enough,GATTÜSO,0.134,0.816,0.632,127.95,0.00205,0.0349
Lose Control,MEDUZA,0.529,0.526,0.598,123.935,0.129,0.0415
I Wanna Dance,Jonas Blue,0.616,0.841,0.825,126.026,0.0906,0.135
After The Landslide - Club Remix,Matt Simons,0.46,0.731,0.63,119.997,0.0191,0.0352
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,0.329,0.899,0.795,125.978,0.00235,0.0685
Pon de Replay,Ed Marquis,0.481,0.717,0.529,103.99,0.123,0.24
So Close,NOTD,0.761,0.872,0.7,125.03,0.121,0.0666
Look Into My Eyes,Brando,0.433,0.541,0.791,115.987,0.123,0.054
Not in Control,Glaceo,0.492,0.633,0.904,121.995,0.203,0.0958
BLUE,Tiësto,0.904,0.725,0.744,118.034,0.018,0.0303
Don't Waste My Time,Kharfi,0.59,0.687,0.772,118.116,0.0528,0.211
Beat Of My Heart,Lost Frequencies,0.296,0.524,0.706,111.991,0.127,0.026
Don't Start Now - Kungs Remix,Dua Lipa,0.252,0.699,0.664,122.019,0.0352,0.27
Drunken Truth,Steve Void,0.498,0.745,0.781,110.051,0.0814,0.0374
Jacques,Jax Jones,0.48,0.547,0.789,120.024,0.072,0.0748
Something Real,Armin van Buuren,0.232,0.808,0.575,127.922,0.0446,0.0439
Stay (Don't Go Away) [feat. Raye],David Guetta,0.552,0.797,0.669,119.865,0.259,0.0624
Solid Gold,PNAU,0.295,0.946,0.567,104.983,0.0978,0.0541
One Life,Mike Perry,0.233,0.757,0.653,128.015,0.0997,0.0555
All ‘Bout The Money,FAULHABER,0.327,0.779,0.721,110.026,0.142,0.0606
Never Letting Go,Audien,0.117,0.765,0.534,127.978,0.0915,0.0338
Used To Love (with Dean Lewis),Martin Garrix,0.392,0.693,0.651,118.97,0.458,0.0375
Giulia,Prince Paris,0.37,0.923,0.682,130.052,0.00395,0.0364
What Do I Do? - Benny Benassi Remix,Georgia Ku,0.611,0.827,0.66,115.349,0.429,0.0789
Dreams Of You (feat. Rae Morris),Icarus,0.148,0.965,0.57,123.008,0.00108,0.0348
I Will Let You Down (feat. KLARA),Madison Mars,0.422,0.918,0.608,126.022,0.199,0.0684
Carillon (with Achille Lauro),Nahaze,0.244,0.562,0.561,151.631,0.062,0.15
La Vie - Gabry Ponte Mix,DJ Ross,0.482,0.88,0.591,127.013,0.0804,0.223
Lullaby,R3HAB,0.258,0.8,0.626,127.966,0.0267,0.035
Say It,Phantoms,0.314,0.8,0.745,122.008,0.0209,0.0361
All This Time,Deorro,0.233,0.857,0.66,130.069,0.167,0.321
All You Need To Know (feat. Calle Lehmann),Gryffin,0.219,0.729,0.53,139.929,0.00699,0.0376
Acordeão,Tiësto,0.783,0.887,0.552,125.229,0.0457,0.147
My Friend,Yves V,0.197,0.911,0.471,126.112,0.0316,0.0594
On & On,Alok,0.67,0.776,0.747,125.07,0.0233,0.0722
Juliet & Romeo,Martin Solveig,0.781,0.664,0.712,122.014,0.0416,0.0345
All Around The World (La La La),R3HAB,0.52,0.859,0.733,124.948,0.479,0.033
Are You Lonely (feat. ISÁK),Steve Aoki,0.176,0.793,0.517,90.06,0.0214,0.0367
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,0.414,0.674,0.675,125.037,0.00339,0.0372
Close Your Eyes,Felix Jaehn,0.52,0.823,0.818,128.136,0.0663,0.2
Buzzing (with Nevve),Audien,0.305,0.591,0.639,128.002,0.128,0.0344
Never Be Alone (feat. Aloe Blacc),David Guetta,0.732,0.906,0.535,126.012,0.0202,0.0353
Roses - Imanbek Remix,SAINt JHN,0.895,0.721,0.784,121.966,0.0149,0.0506
Insane,Ofenbach,0.71,0.758,0.809,125.022,0.409,0.101
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,0.159,0.793,0.669,121.995,0.0318,0.0403
Only Want You - Sam Feldt Remix,Rita Ora,0.347,0.786,0.578,105.945,0.232,0.13
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,0.471,0.839,0.733,126.009,0.0145,0.0335
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,0.499,0.726,0.63,122.055,0.0717,0.0978
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,0.782,0.766,0.845,114.054,0.212,0.0658
Not Ok - Frank Walker Remix,Kygo,0.441,0.866,0.679,121.927,0.0337,0.0566
Heaven (feat. Veronica),Dzeko,0.179,0.882,0.657,127.994,0.247,0.0456
Sixteen - Don Diablo Remix,Ellie Goulding,0.301,0.773,0.493,123.149,0.429,0.157
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,0.27,0.706,0.687,115.268,0.091,0.0459
Brave,Don Diablo,0.542,0.874,0.654,119.85,0.169,0.0543
Let It Be Me,Steve Aoki,0.387,0.758,0.661,114.098,0.0797,0.0864
Carry On - Nicky Romero Remix,Kygo,0.437,0.684,0.447,125.655,0.175,0.09
Magnets (feat. Sophie Simmons),Sam Feldt,0.434,0.802,0.731,121.991,0.022,0.0623
Don't Give Up On Me,Andy Grammer,0.117,0.766,0.489,121.445,0.0511,0.0851
Found Love (feat. Lovespeake),MOTi,0.641,0.888,0.6,126.056,0.00166,0.13
These Are The Times (feat. JRM),Martin Garrix,0.607,0.707,0.687,127.033,0.0536,0.0328
Wherever You Go,Jonas Blue,0.478,0.724,0.711,104.048,0.0835,0.106
Happy Now,Kygo,0.492,0.575,0.693,117.999,0.374,0.0801
Roots,Valerie Broussard,0.581,0.785,0.683,122.997,0.0643,0.037
Talk - Alle Farben Remix,Khalid,0.489,0.818,0.638,126.015,0.131,0.05
All The Lies - Toby Romeo Remix / Radio Edit,Alok,0.634,0.806,0.707,119.972,0.00908,0.175
High Hopes - Don Diablo Remix,Panic! At The Disco,0.288,0.888,0.59,126.094,0.0216,0.0765
Summer Air (feat. Trevor Guthrie),Hardwell,0.557,0.574,0.632,125.989,0.0942,0.053
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,0.542,0.879,0.703,124.972,0.0693,0.177
Bruises - Steve Void Remix,Lewis Capaldi,0.538,0.746,0.79,124.971,0.241,0.0502
Insomnia - King Arthur Remix,Daya,0.206,0.718,0.733,122.993,0.0107,0.0376
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,0.612,0.848,0.728,124.993,0.0427,0.185
I Miss Myself - R3HAB Remix,NOTD,0.607,0.78,0.502,122.688,0.333,0.244
8 Letters - R3HAB Remix,Why Don't We,0.582,0.708,0.638,103.16,0.24,0.0421
You Deserve Better - Andrelli Remix,James Arthur,0.483,0.712,0.685,114.989,0.334,0.0894
Remember (with ZOHARA),Gryffin,0.398,0.906,0.62,123.047,0.102,0.0627
REMEDY,Alesso,0.483,0.775,0.601,119.964,0.269,0.0473
Leave,Borgeous,0.961,0.665,0.762,115.946,0.169,0.0471
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,0.436,0.95,0.684,125.974,0.0207,0.0809
I'm Not Sorry,Hardwell,0.351,0.819,0.65,128.09,0.117,0.0551
Tequila - Robin Schulz Remix,Dan + Shay,0.482,0.836,0.448,122.899,0.229,0.0809
Happier - Frank Walker Remix,Marshmello,0.607,0.646,0.712,104.998,0.116,0.182
Sing It With Me - Embody Remix,JP Cooper,0.503,0.854,0.674,111.969,0.054,0.115
Thursday - Nicky Romero Remix,Jess Glynne,0.615,0.622,0.739,119.992,0.532,0.0394
Better When You're Gone,David Guetta,0.409,0.795,0.647,127.992,0.0635,0.0372
Wish You Well,Sigala,0.576,0.895,0.669,124.964,0.128,0.0575
Only When It Rains,Frank Walker,0.429,0.724,0.792,109.984,0.219,0.0362
Mad Love - Blinkie Remix,Mabel,0.465,0.931,0.706,123.012,0.354,0.0456
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,0.424,0.795,0.645,127.959,0.0334,0.0343
Better Day (feat. Aloe Blacc),Young Bombs,0.435,0.823,0.662,118.958,0.073,0.0971
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,0.704,0.885,0.673,121.082,0.143,0.0569
Discovery,Syn Cole,0.448,0.857,0.516,127.949,0.0368,0.0463
With You - Frank Walker Remix,Tyler Shaw,0.452,0.613,0.686,104.988,0.0386,0.069
2 Hearts (feat. Gia Koka),Sam Feldt,0.597,0.754,0.503,116.524,0.264,0.0424
Love You Forever,Nicky Romero,0.151,0.698,0.382,127.816,0.00236,0.0374
Post Malone (feat. RANI),Sam Feldt,0.651,0.642,0.59,107.356,0.0771,0.122
Thorns,Faustix,0.662,0.825,0.708,109.991,0.031,0.0615
Shotgun (The Wild Remix),George Ezra,0.836,0.757,0.588,122.813,0.327,0.0716
True Colors (feat. Maya Avedis),XO Cupid,0.454,0.63,0.636,104.845,0.0796,0.0346
Crying In The Sun,Faustix,0.664,0.786,0.682,91.042,0.214,0.0477
Need You,Faustix,0.595,0.705,0.639,124.957,0.045,0.049
Sweet Dreams (Are Made of This),Winati,0.182,0.647,0.815,125.95,0.399,0.218
Million Lights,Tungevaag & Raaban,0.466,0.907,0.696,125.932,0.0191,0.073
Dancing in the Moonlight,Jubël,0.187,0.617,0.659,119.858,0.27,0.0649
Heaven,Avicii,0.516,0.873,0.592,122.011,0.0715,0.0275
Forever Young,John De Sohn,0.591,0.617,0.651,121.977,0.179,0.0309
eoh,Olympis,0.277,0.585,0.707,125.161,0.145,0.0701
Nobody,Martin Jensen,0.524,0.687,0.673,96.964,0.269,0.0623
All Day And Night,Jax Jones,0.541,0.765,0.567,121.924,0.317,0.108
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,0.444,0.83,0.768,126.007,0.0229,0.036
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,0.518,0.765,0.734,109.989,0.151,0.0621
All For Love,Tungevaag & Raaban,0.651,0.901,0.689,125.115,0.145,0.0678
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,0.447,0.582,0.676,124.012,0.221,0.128
One Touch,Jess Glynne,0.699,0.693,0.686,124.206,0.329,0.131
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,0.759,0.674,0.763,105.027,0.0106,0.0378
Be Your Friend‬‬,Vigiland,0.641,0.754,0.6,128.044,0.0688,0.0488
Happier - Breathe Carolina Remix,Marshmello,0.34,0.924,0.691,125.983,0.00828,0.0577
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,0.499,0.726,0.63,122.055,0.0717,0.0978
Just Got Paid,Sigala,0.654,0.921,0.734,120.056,0.0328,0.0863
No One - Jonas Blue Remix,Jess Glynne,0.165,0.854,0.605,124.024,0.0673,0.0488
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,0.342,0.523,0.609,127.977,0.00959,0.0796
